edit_count_slope,edit_count_correlation,edit_count_p_value,edit_count_recent_vs_historical,meeting_count_slope,meeting_count_correlation,meeting_count_p_value,meeting_count_recent_vs_historical,total_activity_slope,total_activity_correlation,total_activity_p_value,total_activity_recent_vs_historical,engagement_ratio_slope,engagement_ratio_correlation,engagement_ratio_p_value,engagement_ratio_recent_vs_historical,user_id,trend_direction,risk_level,data_points,analysis_period_days
-0.03709079180777294,-0.6440530721598093,1.9605642125821022e-07,-0.9999989166678402,-0.023463957426221576,-0.6178469279320562,8.273454061238334e-07,-0.9999985555576419,-0.060554749233994516,-0.715963192500762,1.6774899714049948e-09,-0.9999993809527642,-0.008650678461999217,-0.7159631925007621,1.6774899714049764e-09,-0.9999956666854444,U0001,STABLE,LOW,53,52
-0.09611353007579423,-0.5916892708758753,3.072410313833097e-06,-0.9999996750001056,0.002902757619738752,0.12403473458920844,0.3762222130567572,296296.2962962963,-0.09321077245605548,-0.5896719062878311,3.3834567390757753e-06,-0.9037034100000955,-0.01331582463657935,-0.5896719062878308,3.383456739075812e-06,-0.9037016477824551,U0002,DECREASING,MEDIUM,53,52
-0.0516045799064667,-0.6562891065264701,9.540773153490621e-08,-0.9999991875006602,-0.01741654571843251,-0.5284412565300919,4.7580249521193145e-05,-0.9999971111194569,-0.0690211256248992,-0.7158882442740342,1.6870984153881764e-09,-0.9999993658540607,-0.00986016080355703,-0.7158882442740341,1.6870984153882012e-09,-0.9999955609953146,U0003,STABLE,LOW,53,52
-0.05515239477503628,-0.539080911348493,3.117509989423897e-05,-0.9999993500004225,0.0,0.0,1.0,0.0,-0.05515239477503628,-0.539080911348493,3.117509989423897e-05,-0.9999993500004225,-0.007878913539290896,-0.5390809113484932,3.1175099894238733e-05,-0.9999954500207024,U0004,STABLE,LOW,53,52
-0.061602967263344625,-0.5101666057399317,9.524176683656866e-05,-0.9999995357145012,-0.013465570069343654,-0.5264708315508676,5.137607126909623e-05,-0.9999974000067601,-0.07506853733268827,-0.5310595783364318,4.293492174151611e-05,-0.9999996060607612,-0.010724076761812607,-0.5310595783364318,4.293492174151611e-05,-0.9999972424318467,U0005,DECREASING,MEDIUM,53,52
-0.04644412191582003,-0.4394478708523887,0.0009941630305131547,-0.9999994583336268,-0.0029027576197387514,-0.1240347345892084,0.37622221305675707,-0.9999967500105625,-0.04934687953555878,-0.45046395181333787,0.0007126456452119467,-0.9999995357145012,-0.007049554219365542,-0.45046395181333815,0.0007126456452119386,-0.9999967500105625,U0006,STABLE,LOW,53,52
-0.06644089662957588,-0.43545690767569706,0.0011185552853684904,-0.999999593750165,0.0,0.0,1.0,0.0,-0.06644089662957588,-0.43545690767569706,0.0011185552853684904,-0.999999593750165,-0.009491556661367981,-0.4354569076756968,0.0011185552853684977,-0.9999971562580869,U0007,STABLE,LOW,53,52
-0.09966134494436381,-0.5618692631640907,1.1993369117622986e-05,-0.9999996388890192,0.0009675858732462509,0.041344911529736156,0.7688007823476023,1.888864333652551,-0.09869375907111756,-0.5673851088536521,9.41581435398532e-06,-0.9219215980035226,-0.01409910843873108,-0.5673851088536521,9.41581435398532e-06,-0.9219196544979068,U0008,DECREASING,MEDIUM,53,52
-0.03967102080309627,-0.6060952058888099,1.5134900124529934e-06,-0.9999989166678402,-0.014513788098693758,-0.4460257750875394,0.0008160295035112016,-0.5185176759272951,-0.05418480890179003,-0.6724331865031052,3.503349462071587e-08,-0.8074068825929338,-0.007740686985970005,-0.6724331865031057,3.503349462071499e-08,-0.807403733720419,U0009,STABLE,LOW,53,52
-0.06966618287373004,-0.46808543338810155,0.0004085938566268628,-0.999999593750165,-0.0006450572488308337,-0.01640722766316175,0.9071723008016515,-0.03703691666705798,-0.07031124012256088,-0.48631222812558805,0.00022251694348733507,-0.8930037927527456,-0.010044462874651553,-0.4863122281255881,0.00022251694348733404,-0.8930018579160856,U0010,DECREASING,MEDIUM,53,52
