user_id,date,edit_count,meeting_count,total_activity,engagement_ratio,edit_velocity,meeting_velocity,edit_pattern_score,meeting_pattern_score,day_of_week,week_of_year,is_weekend
U0001,2025-06-01,0,1,1,0.14285714285714285,0,-1,0.0,0.0,6,22,True
U0001,2025-06-02,1,1,2,0.2857142857142857,1,-2,0.0,0.0,0,23,False
U0001,2025-06-03,1,0,1,0.14285714285714285,1,-3,0.0,0.0,1,23,False
U0001,2025-06-04,2,0,2,0.2857142857142857,2,-3,1.0,0.0,2,23,False
U0001,2025-06-05,2,0,2,0.2857142857142857,2,-3,1.0,0.0,3,23,False
U0001,2025-06-06,2,1,3,0.42857142857142855,2,-1,1.0,0.0,4,23,False
U0001,2025-06-07,3,1,4,0.5714285714285714,3,-1,0.2,0.0,5,23,True
U0001,2025-06-08,3,1,4,0.5714285714285714,3,0,0.2,0.0,6,23,True
U0001,2025-06-09,3,1,4,0.5714285714285714,2,0,0.2,0.0,0,24,False
U0001,2025-06-10,2,1,3,0.42857142857142855,1,1,1.0,0.0,1,24,False
U0001,2025-06-11,2,2,4,0.5714285714285714,0,2,1.0,1.0,2,24,False
U0001,2025-06-12,1,2,3,0.42857142857142855,-1,2,0.0,1.0,3,24,False
U0001,2025-06-13,1,2,3,0.42857142857142855,-1,1,0.0,1.0,4,24,False
U0001,2025-06-14,1,1,2,0.2857142857142857,-2,0,0.0,0.0,5,24,True
U0001,2025-06-15,0,1,1,0.14285714285714285,-3,0,0.0,0.0,6,24,True
U0001,2025-06-16,0,1,1,0.14285714285714285,-3,0,0.0,0.0,0,25,False
U0001,2025-06-17,0,1,1,0.14285714285714285,-2,0,0.0,0.0,1,25,False
U0001,2025-06-18,0,1,1,0.14285714285714285,-2,-1,0.0,0.0,2,25,False
U0001,2025-06-19,0,0,0,0.0,-1,-2,0.0,0.0,3,25,False
U0001,2025-06-20,0,0,0,0.0,-1,-2,0.0,0.0,4,25,False
U0001,2025-06-21,0,0,0,0.0,-1,-1,0.0,0.0,5,25,True
U0001,2025-06-22,0,0,0,0.0,0,-1,0.0,0.0,6,25,True
U0001,2025-06-23,0,0,0,0.0,0,-1,0.0,0.0,0,26,False
U0001,2025-06-24,0,0,0,0.0,0,-1,0.0,0.0,1,26,False
U0001,2025-06-25,0,0,0,0.0,0,-1,0.0,0.0,2,26,False
U0001,2025-06-26,0,0,0,0.0,0,0,0.0,0.0,3,26,False
U0001,2025-06-27,0,0,0,0.0,0,0,0.0,0.0,4,26,False
U0001,2025-06-28,0,0,0,0.0,0,0,0.0,0.0,5,26,True
U0001,2025-06-29,0,0,0,0.0,0,0,0.0,0.0,6,26,True
U0001,2025-06-30,0,0,0,0.0,0,0,0.0,0.0,0,27,False
U0001,2025-07-01,0,0,0,0.0,0,0,0.0,0.0,1,27,False
U0001,2025-07-02,0,0,0,0.0,0,0,0.0,0.0,2,27,False
U0001,2025-07-03,0,0,0,0.0,0,0,0.0,0.0,3,27,False
U0001,2025-07-04,0,0,0,0.0,0,0,0.0,0.0,4,27,False
U0001,2025-07-05,0,0,0,0.0,0,0,0.0,0.0,5,27,True
U0001,2025-07-06,0,0,0,0.0,0,0,0.0,0.0,6,27,True
U0001,2025-07-07,0,0,0,0.0,0,0,0.0,0.0,0,28,False
U0001,2025-07-08,0,0,0,0.0,0,0,0.0,0.0,1,28,False
U0001,2025-07-09,0,0,0,0.0,0,0,0.0,0.0,2,28,False
U0001,2025-07-10,0,0,0,0.0,0,0,0.0,0.0,3,28,False
U0001,2025-07-11,0,0,0,0.0,0,0,0.0,0.0,4,28,False
U0001,2025-07-12,0,0,0,0.0,0,0,0.0,0.0,5,28,True
U0001,2025-07-13,0,0,0,0.0,0,0,0.0,0.0,6,28,True
U0001,2025-07-14,0,0,0,0.0,0,0,0.0,0.0,0,29,False
U0001,2025-07-15,0,0,0,0.0,0,0,0.0,0.0,1,29,False
U0001,2025-07-16,0,0,0,0.0,0,0,0.0,0.0,2,29,False
U0001,2025-07-17,0,0,0,0.0,0,0,0.0,0.0,3,29,False
U0001,2025-07-18,0,0,0,0.0,0,0,0.0,0.0,4,29,False
U0001,2025-07-19,0,0,0,0.0,0,0,0.0,0.0,5,29,True
U0001,2025-07-20,0,0,0,0.0,0,0,0.0,0.0,6,29,True
U0001,2025-07-21,0,0,0,0.0,0,0,0.0,0.0,0,30,False
U0001,2025-07-22,0,0,0,0.0,0,0,0.0,0.0,1,30,False
U0001,2025-07-23,0,0,0,0.0,0,0,0.0,0.0,2,30,False
U0002,2025-06-01,0,0,0,0.0,0,0,0.0,0.0,6,22,True
U0002,2025-06-02,0,0,0,0.0,0,0,0.0,0.0,0,23,False
U0002,2025-06-03,0,0,0,0.0,0,0,0.0,0.0,1,23,False
U0002,2025-06-04,0,0,0,0.0,0,0,0.0,0.0,2,23,False
U0002,2025-06-05,2,0,2,0.2857142857142857,2,0,1.0,0.0,3,23,False
U0002,2025-06-06,4,0,4,0.5714285714285714,4,0,0.6796227589829592,0.0,4,23,False
U0002,2025-06-07,5,0,5,0.7142857142857143,5,0,0.4785319247208981,0.0,5,23,True
U0002,2025-06-08,6,0,6,0.8571428571428571,6,0,0.4049084876464714,0.0,6,23,True
U0002,2025-06-09,6,0,6,0.8571428571428571,6,0,0.4049084876464714,0.0,0,24,False
U0002,2025-06-10,7,0,7,1.0,7,0,0.33889306400314606,0.0,1,24,False
U0002,2025-06-11,7,0,7,1.0,7,0,0.33889306400314606,0.0,2,24,False
U0002,2025-06-12,7,0,7,1.0,5,0,0.33889306400314606,0.0,3,24,False
U0002,2025-06-13,8,0,8,1.1428571428571428,4,0,0.1807967830513604,0.0,4,24,False
U0002,2025-06-14,6,0,6,0.8571428571428571,1,0,0.16438429995392648,0.0,5,24,True
